Close,Timestamp,High,Low,Open
604.1449957,1474588800,605.31364962,596.1489746,597.15000008
603.79999964,1474675200,608,602,604.1449957
601.89673437,1474761600,605,598.68232627,603.02468725
607.80651197,1474848000,610,600.34170207,601.49999997
606.04401133,1474934400,610.94593703,603.02469015,609.99999589
604.20000002,1475020800,607.24597648,603.17306638,606.61782325
607.39999791,1475107200,608.7,604.2,604.20000002
611.5050501,1475193600,612,605.00050011,607.26333193
613.62569006,1475280000,616.99999999,610.90421062,611.50505008
611.66651183,1475366400,615.66734371,607.50050313,615.32319552
612.99999628,1475452800,614.85,609.17596586,611.34805554
612.26038093,1475539200,613.78464703,608.58724194,611.44150158
613.05897033,1475625600,616.99999999,608.58704168,612.26038076
614.00957436,1475712000,616.35952319,611.51469128,613.05897033
617.53312308,1475798400,621.88716005,611.2,612.20060007
620.49000058,1475884800,623.72135462,617.00000001,619.86992
617.00000001,1475971200,621.32345625,615.5562341,621.29999998
618.75470275,1476057600,621.329,615.55726872,617.1
642.96999999,1476144000,643.5,618.25000002,619.99996996
636.00050012,1476230400,643.99999999,635.1,640.11000232
639.37842931,1476316800,642.65,635.20012345,636.0103
640,1476403200,642.7128,635.76290167,639.15772223
640.99999999,1476489600,646,639,639.999999
644.4626621,1476576000,646.6,639.75980949,640.99999999
640.60279395,1476662400,646.6,639.000001,642.27598394
637,1476748800,641.99999998,631.80876656,640.59878151
632.53240637,1476835200,641.94485909,626.05,637
633.64964643,1476921600,636.18943575,626.91,631.97998091
632.88658111,1477008000,637.16989999,630.48413396,633.64703413
663,1477094400,670.87468175,632.56031148,633.6
658,1477180800,669.02920717,655.01000003,662.70484868
655.6,1477267200,659.37826053,653,658
658.48960538,1477353600,666,652.96513003,655.00000001
677.75246256,1477440000,685.58889338,658.01810158,660.80550202
688.90999999,1477526400,689,675.1,677.75246256
692.69796292,1477612800,695,683.27333681,688.37474674
713.14687271,1477699200,724.5360206,691.23743598,692.39331469
702.10000142,1477785600,716.21000062,695.14000258,713.15687271
702.70116079,1477872000,712.03122342,688,702.10000141
734.96999879,1477958400,744.60000001,700,702.7011555
747.79999999,1478044800,748.9,723.86556408,734.88999996
690.777557,1478131200,751.002387,674.1323,747.8
708.73999977,1478217600,712.83600687,684.44742857,690.777557
709.02999479,1478304000,711.8,700,705.54914936
712.37936,1478390400,721.90579101,701.35,708.99999947
705.453,1478476800,714.99999751,698.91028213,712.37935984
713.1480179,1478563200,716,702.68039594,705.478
723.49652225,1478649600,743.12345678,709.42981963,713.1480179
716.89999719,1478736000,727.07499999,710.01,724.9999457
718.70645592,1478822400,722.85815314,709.60421896,716.89999659
705.0429297,1478908800,720,699.07659926,718.70645592
700.10507388,1478995200,706.99999041,681.7228,705.0429297
707.35,1479081600,710.73657611,695,702.23999999
710.3,1479168000,717.90021102,705.42398115,705.46838108
743.42655325,1479254400,751.002387,709.05,713
739.5,1479340800,757.00695209,735,743.43000001
752.2,1479427200,755,734.1,739.5
750.92000083,1479513600,759,740,752.2
732.00000001,1479600000,757,715.65000002,750.92000083
738.60300615,1479686400,742.68668396,730,733.97639343
748.17379309,1479772800,751,731.58575284,740
739.31710591,1479859200,751,731.00000001,749.99999942
737.70763551,1479945600,745.00766316,728.28980075,742.35948016
740.2053982,1480032000,740.2053982,731.000002,737.70763551
733.5,1480118400,743,722.11138261,740.2053982
729.72890417,1480204800,738.020211,727.00000001,733.0331055
731.31003027,1480291200,735.83998546,727.5,727.50000001
731.2,1480377600,735.35,728.1044379,732.03938313
738.5,1480464000,745.17857021,727.89328149,730.41813611
755,1480550400,755,738.91291171,741.65669308
775.72553148,1480636800,782.43814906,753.35383601,755
